Item Name/Number,NEW MAP,Purchase Price,Vendor Purchase Price
Manfrotto MA037,7.65,5.40,5.40
Manfrotto MA014-38,15.30,10.80,10.80
Manfrotto MA014-14,15.30,10.80,10.80
Avenger MAC1000,15.30,10.80,10.80
Manfrotto MAC155,28.90,20.40,20.40
Manfrotto MA035RL,35.70,25.20,25.20
Manfrotto MAFF3214,35.70,25.20,25.20
Manfrotto MA035,37.40,26.40,26.40
Avenger MAC1575B,41.65,29.40,29.40
Manfrotto MA2909,42.50,30.00,30.00
Avenger MAD200,43.35,30.60,30.60
Manfrotto MA196AB-2,44.20,31.20,31.20
Avenger MAD200B,45.05,31.80,31.80
Manfrotto MAFF3236,91.80,64.80,64.80
Luminex LU0100061-CABLE,133.20,103.60,103.60
Manfrotto MA046MCR,144.50,102.00,102.00
Manfrotto MA143A,152.15,107.40,107.40
Manfrotto MA244N,157.25,111.00,111.00
Manfrotto MA244,175.95,124.20,124.20
Manfrotto MA032B,181.05,127.80,127.80
"Manfrotto MA432-3,7",188.70,133.20,133.20
Manfrotto MAFF6003B,201.45,142.20,142.20
Manfrotto MAFF6005B,302.60,213.60,213.60
Avenger MAA2033FCBKIT,317.90,224.40,224.40
Avenger MAA2033LKIT,326.40,230.40,230.40
Avenger MAC822,351.05,247.80,247.80
Avenger MAA0045CS,357.00,252.00,252.00
Manfrotto MAFF3248,362.95,256.20,256.20
Manfrotto MA231CS,375.70,265.20,265.20
Luminex LU0100069,405.00,315.00,315.00
Manfrotto MAFF3512N86,599.25,423.00,423.00
Luminex LU0100051-GC14/16,674.10,524.30,524.30
Avenger MAB9000P,816.00,576.00,576.00
Manfrotto MAFF3514N86,887.40,626.40,626.40
Luminex LU0100070,1025.10,797.30,797.30
Luminex LU0100064,1056.60,821.80,821.80
Avenger MAB6039CS,1137.30,802.80,802.80
Luminex LU0100054,1248.30,970.90,970.90
Manfrotto MA425B,1361.70,961.20,961.20
Luminex LU0100071,1481.40,1152.20,1152.20
Luminex LU0100044*,1587.60,1234.80,1234.80
Luminex LU0100058*,1906.20,1482.60,1482.60
Luminex LU0100036*,2044.80,1590.40,1590.40
Luminex LU0100061,2044.80,1590.40,1590.40
Luminex LU0100058-NQM*,2649.60,2060.80,2060.80
Luminex LU0100072,2785.50,2166.50,2166.50
Luminex LU0100058-NDM*,2894.40,2251.20,2251.20
Luminex LU0100058-NQS*,2947.50,2292.50,2292.50
Luminex LU0100038*,3000.60,2333.80,2333.80
Luminex LU0100058-F4M*,3180.60,2473.80,2473.80
Luminex LU0100058-NDS*,3180.60,2473.80,2473.80
Luminex LU0100052*,3573.90,2779.70,2779.70
Avenger MAB7043CS,3582.75,2529.00,2529.00
Luminex LU0100058-F2M*,3770.10,2932.30,2932.30
Luminex LU0100048*,4168.80,3242.40,3242.40
Manfrotto MAFF3054,5013.30,3538.80,3538.80
Luminex LU0100074,5729.40,4456.20,4456.20
Luminex LU0100056-04*,6106.50,4749.50,4749.50
Luminex LU0100056-08*,6452.10,5018.30,5018.30
Luminex LU0100056-02*,6478.20,5038.60,5038.60
Luminex LU0100056-06*,6791.40,5282.20,5282.20
Luminex LU0100056-20*,7168.50,5575.50,5575.50
Avenger MAB7034FF,7201.20,5083.20,5083.20
Luminex LU0100056-12*,7407.90,5761.70,5761.70
Luminex LU0100056-18*,8124.30,6318.90,6318.90
Luminex LU0100056-10*,8809.20,6851.60,6851.60
Luminex LU0100056-16*,8867.70,6897.10,6897.10
Avenger MAB7057FF,9066.95,6400.20,6400.20
Luminex LU0100056-14*,10248.30,7970.90,7970.90
