Vendor Purchase Price,NEW MAP,Item Name/Number,Purchase Price
6.90,9.20,Altman 100-CFB,6.90
6.90,9.20,Altman 3.5Q-CFB,6.90
6.90,9.20,Altman 6-CFB,6.90
6.90,9.20,Altman 4.5-CFB,6.90
9.90,13.20,Altman 8-CFB,9.90
10.20,13.60,Altman 35-20102x162x01,10.20
14.40,19.20,Altman 3.5Q-DN,14.40
14.40,19.20,Altman TEE,14.40
15.00,20.00,Altman 100-SN,15.00
15.00,20.00,Altman 12-DN,15.00
15.00,20.00,Altman 4.5-DN,15.00
15.00,20.00,Altman 6-DN,15.00
15.00,20.00,Altman 10-DN,15.00
17.10,22.80,Altman 10-CFB,17.10
19.20,25.60,Altman 18-0110,19.20
19.20,25.60,Altman 18-0111,19.20
19.20,25.60,Altman 18-0112,19.20
19.20,25.60,Altman 18-0113,19.20
19.20,25.60,Altman 18-0114,19.20
19.20,25.60,Altman QL-SNCF,19.20
19.80,26.40,Altman PHXZ-PHGSB-3T,19.80
20.10,26.80,Altman 12-CFB,20.10
20.40,27.20,Altman 510,20.40
20.40,27.20,Altman PHX-PHGSB,20.40
20.40,27.20,Altman PHX-PHGSA,20.40
25.20,33.60,Altman 6-SN,25.20
26.40,35.20,Altman 510-HD,26.40
27.00,36.00,Altman 8-SN,27.00
27.00,36.00,Altman WRENCH,27.00
27.00,36.00,Altman PHX-PHGSB-GLS,27.00
27.00,36.00,Altman PHX-PHGS86-GLS,27.00
28.20,37.60,Altman 4.5-SN,28.20
30.00,40.00,Altman 10-SN,30.00
33.60,44.80,Altman QL-SN,33.60
36.00,48.00,Altman ODEC-DN,36.00
37.20,49.60,Altman PCL-PBG-12-5,37.20
42.00,56.00,Altman 12-SN-BK,42.00
43.20,57.60,Altman 510-2,43.20
45.00,60.00,Altman PHX-PHISA-GLS,45.00
45.00,60.00,Altman PHX-PHISB-GLS,45.00
45.00,60.00,Altman PHX-PHIS86-GLS,45.00
48.00,64.00,Altman 508,48.00
52.44,69.92,Altman CROSS-18-2,52.44
57.27,76.36,Altman 504A-24,57.27
63.48,84.64,Altman 509-HD-12-1,63.48
70.80,94.40,Altman 71-1050,70.80
72.00,96.00,Altman 6-BD-4,72.00
72.45,96.60,Altman 504-24,72.45
80.04,106.72,Altman 509-HD-18-1,80.04
86.40,115.20,Altman 8-BD-4,86.40
96.60,128.80,Altman 509-HD-24-1,96.60
101.40,135.20,Altman ODEC-PH,101.40
101.40,135.20,Altman 70-0525,101.40
110.40,147.20,Altman 509-HD-24-2,110.40
124.80,166.40,Altman 70-3335,124.80
129.03,172.04,Altman 509-HD-36-2,129.03
134.40,179.20,Altman 525-18,134.40
139.20,185.60,Altman 71-0804,139.20
139.20,185.60,Altman 71-0803,139.20
139.20,185.60,Altman 71-0802,139.20
139.20,185.60,Altman 71-0801,139.20
141.00,188.00,Altman 71-1045,141.00
153.00,204.00,Altman SS-UV10C-EXT-5,153.00
177.00,236.00,Altman SS-UV10C-EXT-10,177.00
210.00,280.00,Altman SS-UV10C-EXT-25,210.00
231.00,308.00,Altman Q-LITE-JR,231.00
246.00,328.00,Altman 65Q*,246.00
255.00,340.00,Altman SS-UV10C-EXT-50,255.00
255.00,340.00,Altman SP-A-*-**,255.00
255.00,340.00,Altman Q-LITE,255.00
270.00,360.00,Altman B-3-CB,270.00
276.00,368.00,Altman 262,276.00
276.00,368.00,Altman EC,276.00
299.40,399.20,Altman B-50,299.40
315.00,420.00,Altman 526/3-5,315.00
315.00,420.00,Altman 526/5-9,315.00
324.00,432.00,Altman 71-0805,324.00
360.00,480.00,Altman 263,360.00
412.80,550.40,Altman 71-0806,412.80
432.00,576.00,Altman 264,432.00
552.00,736.00,Altman PHX-10-**-***,552.00
588.00,784.00,Altman FC-1,588.00
651.00,868.00,Altman PHX-5-**-***,651.00
1074.00,1432.00,Altman SSCYC50-UV-*,1074.00
1200.60,1600.80,Altman SS-UV40DB-BK,1200.60
1260.60,1680.80,Altman SSPAR-*-**,1260.60
1740.00,2320.00,Altman SS-UV30-*,1740.00
2478.00,3304.00,Altman SS-UV40C-*,2478.00
