Item Name/Number,Purchase Price,Vendor Purchase Price,NEW OP,Minimum Quantity
Apollo HE-3005,272,272,337.28,1
Apollo HE-3004,272,272,337.28,1
Apollo HE-3003,272,272,337.28,1
Apollo HE-3002,272,272,337.28,1
Apollo HE-3001,272,272,337.28,1
Apollo HE-2005,272,272,337.28,1
Apollo HE-2003,272,272,337.28,1
Apollo CSDS-8098,272,272,337.28,1
Apollo CSDS-8097,272,272,337.28,1
Apollo CSDS-8096,272,272,337.28,1
Apollo CSDS-8095,272,272,337.28,1
Apollo CSDS-8094,272,272,337.28,1
Apollo CSDS-8093,272,272,337.28,1
Apollo CSDS-8092,272,272,337.28,1
Apollo CSDS-8091,272,272,337.28,1
Apollo CSDS-8090,272,272,337.28,1
Apollo CSDS-8089,272,272,337.28,1
Apollo CSDS-8088,272,272,337.28,1
Apollo CSDS-8087,272,272,337.28,1
Apollo CSDS-8086,272,272,337.28,1
Apollo CSDS-8085,272,272,337.28,1
Apollo CSDS-8084,272,272,337.28,1
Apollo CSDS-8083,272,272,337.28,1
Apollo CSDS-8082,272,272,337.28,1
Apollo CSDS-8081,272,272,337.28,1
Apollo CSDS-8080,272,272,337.28,1
Apollo CSDS-8079,272,272,337.28,1
Apollo CSDS-8078,272,272,337.28,1
Apollo CSDS-8077,272,272,337.28,1
Apollo CSDS-8076,272,272,337.28,1
Apollo CSDS-8075,272,272,337.28,1
Apollo CSDS-8074,272,272,337.28,1
Apollo CSDS-8073,272,272,337.28,1
Apollo CSDS-8072,272,272,337.28,1
Apollo CSDS-8071,272,272,337.28,1
Apollo CSDS-8070,272,272,337.28,1
Apollo CSDS-8069,272,272,337.28,1
Apollo CSDS-8068,272,272,337.28,1
Apollo CSDS-8067,272,272,337.28,1
Apollo CSDS-8066,272,272,337.28,1
Apollo CSDS-8065,272,272,337.28,1
Apollo CSDS-8064,272,272,337.28,1
Apollo CSDS-8063,272,272,337.28,1
Apollo CSDS-8062,272,272,337.28,1
Apollo CSDS-8061,272,272,337.28,1
Apollo CSDS-8060,272,272,337.28,1
Apollo CSDS-8059,272,272,337.28,1
Apollo CSDS-8058,272,272,337.28,1
Apollo CSDS-8057,272,272,337.28,1
Apollo CSDS-8056,272,272,337.28,1
Apollo CSDS-8055,272,272,337.28,1
Apollo CSDS-8054,272,272,337.28,1
Apollo CSDS-8053,272,272,337.28,1
Apollo CSDS-8052,272,272,337.28,1
Apollo CSDS-8051,272,272,337.28,1
Apollo CSDS-8050,272,272,337.28,1
Apollo CSDS-8049,272,272,337.28,1
Apollo CSDS-8048,272,272,337.28,1
Apollo CSDS-8047,272,272,337.28,1
Apollo CSDS-8046,272,272,337.28,1
Apollo CSDS-8045,272,272,337.28,1
Apollo CSDS-8044,272,272,337.28,1
Apollo CSDS-8043,272,272,337.28,1
Apollo CSDS-8042,272,272,337.28,1
Apollo CSDS-8041,272,272,337.28,1
Apollo CSDS-8040,272,272,337.28,1
Apollo CSDS-8039,272,272,337.28,1
Apollo CSDS-8038,272,272,337.28,1
Apollo CSDS-8037,272,272,337.28,1
Apollo CSDS-8036,272,272,337.28,1
Apollo CSDS-8035,272,272,337.28,1
Apollo CSDS-8034,272,272,337.28,1
Apollo CSDS-8033,272,272,337.28,1
Apollo CSDS-8032,272,272,337.28,1
Apollo CSDS-8031,272,272,337.28,1
Apollo CSDS-8030,272,272,337.28,1
Apollo CSDS-8029,272,272,337.28,1
Apollo CSDS-8028,272,272,337.28,1
Apollo CSDS-8027,272,272,337.28,1
Apollo CSDS-8026,272,272,337.28,1
Apollo CSDS-8025,272,272,337.28,1
Apollo CSDS-8024,272,272,337.28,1
Apollo CSDS-8023,272,272,337.28,1
Apollo CSDS-8022,272,272,337.28,1
Apollo CSDS-8021,272,272,337.28,1
Apollo CSDS-8020,272,272,337.28,1
Apollo CSDS-8019,272,272,337.28,1
Apollo CSDS-8018,272,272,337.28,1
Apollo CSDS-8017,272,272,337.28,1
Apollo CSDS-8016,272,272,337.28,1
Apollo CSDS-8015,272,272,337.28,1
Apollo CSDS-8014,272,272,337.28,1
Apollo CSDS-8013,272,272,337.28,1
Apollo CSDS-8012,272,272,337.28,1
Apollo CSDS-8011,272,272,337.28,1
Apollo CSDS-8010,272,272,337.28,1
Apollo CSDS-8009,272,272,337.28,1
Apollo CSDS-8008,272,272,337.28,1
Apollo CSDS-8007,272,272,337.28,1
Apollo CSDS-8006,272,272,337.28,1
Apollo CSDS-8005,272,272,337.28,1
Apollo CSDS-8004,272,272,337.28,1
Apollo CSDS-8003,272,272,337.28,1
Apollo CSDS-8002,272,272,337.28,1
Apollo CSDS-8001,272,272,337.28,1
Apollo CSDS-8000,272,272,337.28,1
Apollo CSDS-1300,272,272,337.28,1
Apollo CSDS-1200,272,272,337.28,1
Apollo CSDS-1100,272,272,337.28,1
Apollo CSDS-1000,272,272,337.28,1
Apollo CS-3512,272,272,337.28,1
Apollo CS-3511,272,272,337.28,1
Apollo CS-3510,272,272,337.28,1
Apollo CS-3509,272,272,337.28,1
Apollo CS-3508,272,272,337.28,1
