NEW PP,NEW MAP,Item Name/Number,Purchase Price
13.50,19.98,Chauvet DJ CLP05,13.50
15.00,22.20,Chauvet DJ CLP15N,15.00
16.25,24.05,Chauvet DJ CLP15,16.25
17.50,25.90,Chauvet Professional CTC50G,17.50
17.50,25.90,Chauvet Professional CTC50HCN,17.50
19.50,28.86,Chauvet Professional HDF,19.50
23.50,34.78,Chauvet DJ CLP25N,23.50
25.00,37.00,Chauvet Professional IP5POWER,25.00
25.00,37.00,Chauvet Professional IP5SIG,25.00
28.00,41.44,Chauvet Professional CTC50HC,28.00
34.00,,POWERCONEXT5FT,34.00
39.00,,POWERCONEXT10FT,39.00
54.00,,POWERCONEXT25FT,54.00
125.00,185.00,Chauvet Professional USSR132,125.00
170.00,251.60,Chauvet DJ USSR140,170.00
330.00,488.40,Chauvet Professional USSR440,330.00
397.50,529.99,Chauvet DJ SHOCKER2,397.50
1155.00,1709.40,Chauvet Professional CP6CASER1W,1155.00
1155.00,1709.40,Chauvet Professional CP6CASER2W,1155.00
1175.00,1386.50,Chauvet Professional CP2CASEMK3W,1175.00
1175.00,1386.50,Chauvet Professional CP4CASER3W,1175.00
1385.00,2049.80,Chauvet Professional CP4CASEMK2W,1385.00
2075.00,2912.64,Chauvet Professional CP6CASEOB2805,2075.00
9560.00,12750.00,Chauvet Professional F2X4,9560.00
19320.00,32200.00,ChamSys CHAMMQ500MWITHCASE,19320.00
