NEW OP,Purchase Price,Item Name/Number,Vendor Purchase Price
2.25,1.69,Clear-Com 202G136,1.69
2.25,1.69,Clear-Com 202G137,1.69
2.25,1.69,Clear-Com 306G108,1.69
3.25,2.44,Clear-Com 507003Z,2.44
4.45,3.34,Clear-Com CC-010-ETIP,3.34
4.45,3.34,Clear-Com 507004Z,3.34
5.50,4.13,Clear-Com CC-27-CUS,4.13
5.50,4.13,Clear-Com CC-25-CUS,4.13
6.60,5.28,Clear-Com 105G073,5.28
6.60,4.95,Clear-Com 507000Z,4.95
7.70,5.78,Clear-Com HS-ES,5.78
7.70,5.78,Clear-Com 500096Z,5.78
7.70,5.78,Clear-Com 306G145,5.78
8.80,6.60,Clear-Com 500114Z,6.60
8.80,6.60,Clear-Com 506110Z,6.60
8.80,6.60,Clear-Com 202G153,6.60
8.80,6.60,Clear-Com 306G146,6.60
9.90,7.92,Clear-Com 107G065,7.92
9.90,7.43,Clear-Com 306G151,7.43
10.95,8.76,Clear-Com 115G372,8.76
10.95,8.21,Clear-Com CC-26K-CUSZ,8.21
12.05,9.64,Clear-Com 107G067,9.64
14.25,10.69,Clear-Com CC-26K-WINZ,10.69
16.40,12.30,Clear-Com 500140Z,12.30
16.40,12.30,Clear-Com 306G144,12.30
21.85,16.39,Clear-Com CZ11474,16.39
22.95,17.21,Clear-Com 506108Z,17.21
25.40,19.05,Clear-Com ES-1,19.05
29.55,22.16,Clear-Com CC-010-ETUBE,22.16
30.30,22.73,Clear-Com TS-1,22.73
30.30,24.24,Clear-Com 115G362,24.24
45.90,36.72,Clear-Com CZ-BAT50,36.72
45.90,34.43,Clear-Com 453G028,34.43
54.60,40.95,Clear-Com BP-MOUNT,40.95
55.75,41.81,Clear-Com 453G026,41.81
55.75,41.81,Clear-Com 453G025,41.81
56.85,45.48,Clear-Com 104034,45.48
56.85,45.48,Clear-Com 453G013,45.48
63.40,47.55,Clear-Com IC-25,47.55
65.55,52.44,Clear-Com G28572-1,52.44
65.55,52.44,Clear-Com G28572-2,52.44
67.75,54.20,Clear-Com 101G048,54.20
75.40,56.55,Clear-Com BAT60,56.55
76.45,57.34,Clear-Com 453G042,57.34
84.15,63.11,Clear-Com CC-010A,63.11
85.25,63.94,Clear-Com HLCN-X4,63.94
85.25,63.94,Clear-Com HLCN-X4,63.94
87.40,65.55,Clear-Com HLC-X5,65.55
88.50,70.80,Clear-Com CZ11421,70.80
89.60,67.20,Clear-Com IC-50,67.20
93.95,70.46,Clear-Com CZ11454,70.46
95.05,71.29,Clear-Com CZ11453,71.29
95.05,71.29,Clear-Com SP-2,71.29
96.15,72.11,Clear-Com SP-3,72.11
98.30,73.73,Clear-Com G27245-1,73.73
98.30,73.73,Clear-Com G27256-1,73.73
98.30,73.73,Clear-Com G27267-1,73.73
100.50,75.38,Clear-Com WP-2,75.38
101.60,81.28,Clear-Com G27009-1,81.28
103.75,77.81,Clear-Com HLC-X6,77.81
119.10,89.33,Clear-Com YC-36,89.33
120.15,90.11,Clear-Com 306G152,90.11
