Purchase Price,Vendor Purchase Price,NEW OP,Item Name/Number
10062.90,10062.90,12478.00,Lex PH600G3-N1J-14AV
8461.60,8461.60,10492.38,Lex PH800G3-N1J-13AX
10176.20,10176.20,12618.49,Lex PH800G3-N1J-22AV2AX
10410.45,10410.45,12908.96,Lex PH800G3-N2J-31AV1AX1AZ
3804.25,3804.25,4717.27,Lex DB400LP-AW-S3-RG
3579.75,3579.75,4438.89,Lex DB400N1J4AJ2CD-63-RG
3452.35,3452.35,4280.91,Lex DB400N1J4AJ2CC-63-RG
3335.85,3335.85,4136.45,Lex DB400N1J4AJ-63-RG
3058.50,3058.50,3792.54,Lex DB400BP-WWW-S3-RG
4064.35,4064.35,5039.79,Lex DB200N1J10DM-63-RG
3842.35,3842.35,4764.51,Lex DB200N1J24CD-H3-RG
3657.50,3657.50,4535.30,Lex DB200NQ-PTT-S3-RG
500.20,500.20,620.25,Lex DB20A-19MFF
2034.60,2034.60,2522.90,Lex DBS200-A4BM2
1568.20,1568.20,1944.57,Lex DB100A-A401520
2018.85,2018.85,2503.37,Lex DB100MP-AQQ-S3
740.20,740.20,917.85,Lex PH060B1-NDB-13CC
889.40,889.40,1102.86,Lex PH100B1-NDC-15CC
776.05,776.05,962.30,Lex BNZJ2-6M
820.85,820.85,1017.85,Lex BNZJ2-6M-CLP
840.40,840.40,1042.10,Lex BNZJ2-Z3
894.75,894.75,1109.49,Lex BNZJ2-Z3-CLP
886.25,886.25,1098.95,Lex BNZJ3-Z1
929.80,929.80,1152.95,Lex BNZJ3-Z1-CLP
645.65,645.65,800.61,Lex BNB2-3B
693.95,693.95,860.50,Lex BNB3-3B
848.30,848.30,1051.89,Lex BNE2-5A
729.75,729.75,904.89,Lex BNE3-3A-10.5
1001.05,1001.05,1241.30,Lex BNF2-5A
838.80,838.80,1040.11,Lex BNF3-1A2B-10.5
22.45,22.45,27.84,Lex GET-A-GRIP
851.40,851.40,1055.74,Lex DBS100FP-B4B2
2393.40,2393.40,2967.82,Lex DB200A-A4061FT
3671.00,3671.00,4552.04,Lex DB400N2J6BC3BD-H1
1583.05,1583.05,1962.98,Lex DBS100DT-A4DB2
2605.35,2605.35,3230.63,Lex DB160NP-ADDMS1
168.85,168.85,209.37,Lex DB20PC-SBPC
92.70,92.70,114.95,Lex 50123B
207.00,207.00,256.68,Lex 50112BA
123.75,123.75,153.45,Lex 50116BA
202.50,202.50,251.10,Lex 59233B
10.10,10.10,12.52,Lex 50201B
5.30,5.30,6.57,Lex 50301
122.85,122.85,152.33,Lex SS3000-C
144.05,144.05,178.62,Lex SS5000-C
185.95,185.95,230.58,Lex SS6000-C
129.60,129.60,160.70,Lex SB300F-125
111.75,111.75,138.57,Lex SB300F-220
127.85,127.85,158.53,Lex SB300M-125
127.35,127.35,157.91,Lex SB300M-220
159.75,159.75,198.09,Lex SP60-60
166.45,166.45,206.40,Lex SP100-60
211.60,211.60,262.38,Lex SP100-100
172.50,172.50,213.90,Lex FE3000-50
322.50,322.50,399.90,Lex FE3000-100
353.50,353.50,438.34,Lex FE5000-50
677.55,677.55,840.16,Lex FE5000-100
