NOTES,NEW PP,NEW OP,Reference code,Reference code,Product name,Visibility,Show price,Pre-tax wholesale price,Pre-tax retail price,Combinations Reference code,Combinations (Attribute - value pair),Combinations Impact on price (pre-tax),Combinations wholesale price,Combinations Impact on weight,Default supplier ID,Supplier Ids
,19.21,24.0125,D32CK-HII,Leviton D32CK-HII,Leviton D3200 Color Change Kit - Ivory Frame & Ivory Door with LCD Hole in Door,both,1,12.31,16.08,,,,,,41,41
,107.96,134.95,PST24-I10,Leviton PST24-I10,Leviton DIN Rail Mount Power Supply,both,1,69.21,90.37,,,,,,41,41
,158.49,198.1125,D42IR-RFW,Leviton D42IR-RFW,Leviton D4200 Infrared Receiver - 2 Gang Flush Mount - White,both,1,101.59,132.65,,,,,,41,41
,158.49,198.1125,D42IR-RSW,Leviton D42IR-RSW,Leviton D4200 Infrared Receiver - 1 Gang Surface Mount - White,both,1,101.59,132.65,,,,,,41,41
,202.82,253.525,ECS00-110,Leviton ECS00-110,Leviton Emergency Luminaire Control 10A Switching Loads Only,both,1,105.19,137.35,,,,,,41,41
,208.92,261.15,ECS00-103,Leviton ECS00-103,Leviton Emergency Luminaire Control Fixture Mount 3A,both,1,108.35,141.47,,,,,,41,41
,220.11,275.1375,D42MO-RLW,Leviton D42MO-RLW,Leviton D42MO-RLW D4200 Remote Station - Max-Raise/Lower-Off - White,both,1,141.09,184.23,,,,,,41,41
,220.11,275.1375,D42P1-M0W,Leviton D42P1-M0W,Leviton D4200 Remote Station: Scene 1 - Maximum & Off - Color: White,both,1,141.09,184.23,,,,,,41,41
,220.11,275.1375,D42P1-RLW,Leviton D42P1-RLW,Leviton D4200 Remote Station: Scene 1 - Maximum - Raise/Lower - Off - Color: White,both,1,141.09,184.23,,,,,,41,41
,220.11,275.1375,D42P4-RLW,Leviton D42P4-RLW,Leviton D4200 Remote Station: Scenes 1 thru 4 - Max - Raise/Lower & Off - White,both,1,141.09,184.23,,,,,,41,41
,220.11,275.1375,D42P9-16W,Leviton D42P9-16W,Leviton D4200 Remote Station: Scenes 9 thru 16 - Color: White,both,1,141.09,184.23,,,,,,41,41
,220.11,275.1375,D42P9-RLW,Leviton D42P9-RLW,Leviton D4200 Remote Station: Scene 9 thru 16 - Raise - Lower - Color: White,both,1,141.09,184.23,,,,,,41,41
,227.96,284.95,PE100-10W,Leviton PE100-10W,Leviton Power Extender Incandescent and Magnetic Low Voltage 120V,both,1,118.22,154.37,,,,,,41,41
,283.14,353.925,PE400-10W,Leviton PE400-10W,Leviton Power Extender 120V 1000W/VA Electronic Low Voltage,both,1,146.85,191.74,,,,,,41,41
,310.11,387.6375,PE200-70W,Leviton PE200-70W,Leviton Power Extender 277V Mark X,both,1,160.83,210,,,,,,41,41
,407.69,509.6125,D42LI-NKW,Leviton D42LI-NKW,Leviton D4200 Link Station - White,both,1,261.34,341.23,,,,,,41,41
,775.18,968.975,D4006-1LW,Leviton D4006-1LW,Leviton D4006-1LW Dimensions 4000 system Remote Dimmer,both,1,496.92,648.83,,,,,,41,41
,910.44,1138.05,PE500-D0E,Leviton PE500-D0E,Leviton 0-10V to 0-120/277 Phase Control Power Extender,both,1,472.18,616.53,,,,,,41,41
,933.69,1167.1125,D4106-1LW,Leviton D4106-1LW,Leviton Dimensions 4106 Lighting Controller for Luma-Net - 6 120V Dimmers - 6 Channels - 20A 120V Input,both,1,598.53,781.51,,,,,,41,41
,1617.78,2022.225,D4206-1LW,Leviton D4206-1LW,Leviton Dimensions 4206 Lighting Controller for Luma-Net - 6 120V Dimmers - 32 Channels - 20A 120V Input,both,1,1037.04,1354.08,,,,,,41,41
,1617.78,2022.225,D4206-2LW,Leviton D4206-2LW,Leviton Dimensions 4206 Lighting Controller for Luma-Net - 6 230V Dimmers - 32 Channels - 20A 230V Input,both,1,1037.04,1354.08,,,,,,41,41
