Purchase Price,Vendor Purchase Price,NEW OP,Item Name/Number
2220.00,2220.00,2775.00,Lycian 1206
2280.00,2280.00,2850.00,Lycian 1206D
4907.50,4907.50,6134.38,Lycian 1209
4907.50,4907.50,6134.38,Lycian 1209/240
7150.00,7150.00,8937.50,Lycian 1266
7150.00,7150.00,8937.50,Lycian 1266/UT
7475.00,7475.00,9343.75,Lycian 1267
7280.00,7280.00,9100.00,Lycian 1271
7345.00,7345.00,9181.25,Lycian 1271/UT
533.00,533.00,666.25,Lycian 127114
422.50,422.50,528.13,Lycian 127115
682.50,682.50,853.13,Lycian 127118
8872.50,8872.50,11090.63,Lycian 1275 1.2
8937.50,8937.50,11171.88,Lycian 1275/UT
9630.24,9630.24,12037.80,Lycian 2020-12
14391.49,14391.49,17989.36,Lycian 2020-25
9493.74,9493.74,11867.17,Lycian 2040-12
12356.99,12356.99,15446.23,Lycian 2040-25
9717.50,9717.50,12146.88,Lycian 2060-12
12577.50,12577.50,15721.88,Lycian 2060-25
45.75,45.75,57.19,Lycian 802
45.75,45.75,57.19,Lycian 801
1620.00,1620.00,2025.00,Lycian 1239
2220.00,2220.00,2775.00,Lycian 1206/240
20117.50,20117.50,25146.88,Lycian 1295/FB
446.25,446.25,557.81,Lycian 2001
667.50,667.50,834.38,Lycian 2002
672.75,672.75,840.94,Lycian 2010
2190.00,2190.00,2737.50,Lycian 2012
1740.00,1740.00,2175.00,Lycian 2020
4950.00,4950.00,6187.50,Lycian 2025
2250.00,2250.00,2812.50,Lycian 2040
2550.00,2550.00,3187.50,Lycian 2060
1031.25,1031.25,1289.06,Lycian 2076
1087.50,1087.50,1359.38,Lycian 2086
2250.00,2250.00,2812.50,Lycian 927
2325.00,2325.00,2906.25,Lycian 927 UT
7800.00,7800.00,9750.00,Lycian 935
2643.75,2643.75,3304.69,Lycian 939
181.50,181.50,226.88,Lycian 428
3660.00,3660.00,4575.00,Lycian ZOT 7i
1620.00,1620.00,2025.00,Lycian 1239/240
7475.00,7475.00,9343.75,Lycian 1274
9717.50,9717.50,12146.88,Lycian 1276
15860.00,15860.00,19825.00,Lycian 1290
3360.00,3360.00,4200.00,Lycian ZOT 5i
2370.00,2370.00,2962.50,Lycian ZOT 12i
2456.25,2456.25,3070.31,Lycian 926
2407.50,2407.50,3009.38,Lycian 928
8700.00,8700.00,10875.00,Lycian 938
7275.00,7275.00,9093.75,Lycian 129028X
300.00,300.00,375.00,Lycian 2003
78.75,78.75,98.44,Lycian 2050
78.75,78.75,98.44,Lycian 2051
56.25,56.25,70.31,Lycian 2052
330.00,330.00,412.50,Lycian 120682
405.75,405.75,507.19,Lycian 1306
660.00,660.00,825.00,Lycian 1326
327.00,327.00,408.75,Lycian 1328
383.25,383.25,479.06,Lycian 1329
652.50,652.50,815.63,Lycian 2008
157.39,157.39,196.73,Lycian 46
63.00,63.00,78.75,Lycian 48
30.00,30.00,37.50,Lycian 51
45.75,45.75,57.19,Lycian 803
15.75,15.75,19.69,Lycian 1278110
27.00,27.00,33.75,Lycian 1278110X
27.00,27.00,33.75,Lycian 1313
959.25,959.25,1199.06,Lycian 1315/4
3412.50,3412.50,4265.63,Lycian 1322
3412.50,3412.50,4265.63,Lycian 1323
3540.00,3540.00,4425.00,Lycian ZOT LED
9425.00,9425.00,11781.25,Lycian 1275 1.5
9490.00,9490.00,11862.50,Lycian 1275 1.5 UT
2407.50,2407.50,3009.38,Lycian 927 1.5
2407.50,2407.50,3009.38,Lycian 927 1.5 UT
307.50,307.50,384.38,Lycian 1318
892.50,892.50,1115.63,Lycian 1315
7475.00,7475.00,9343.75,Lycian 1267/UT
