NEW PP,NEW OP,Reference code
0.30,0.37,Lex 02301.R5.01
0.35,0.43,Lex 02301.R5.02
0.50,0.62,Lex 02301.R5.08
0.75,0.93,Lex 02303.R5.01
0.90,1.12,Lex 22/5 DMXPL
1.00,1.24,Lex 16/3 SJOW
1.00,1.24,Lex 14/3 SJOW
1.05,1.30,Lex 14/3 SOW
1.05,1.30,Lex 22/6 RFU
1.25,1.55,Lex LSC19-PC
1.30,1.61,Lex 16/4 SJOW
1.35,1.67,Lex 16/3 SOW
1.40,1.74,Lex LSC19-PS
1.70,2.11,Lex LSC19-SC
1.70,2.11,Lex 12/3 SOW
1.70,2.11,Lex 12/3 SJOW
1.70,2.11,Lex 6 SC
1.70,2.11,Lex 6 SC GREEN
1.70,2.11,Lex 1305A
1.85,2.29,Lex LSC19-SS
2.00,2.48,Lex 7924A
2.05,2.54,Lex 14/4 SOW
2.10,2.60,Lex LSC19-GR
2.35,2.91,Lex 16/7 SOW
2.35,2.91,Lex 4 SC
2.50,3.10,Lex 12/4 SOW
2.50,3.10,Lex 10/3 SJOW
2.75,3.41,Lex CC22/14
2.85,3.53,Lex 12/5 SOW
2.95,3.66,Lex 10/3 SOW
3.35,4.15,Lex 6/3 SOW
3.65,4.53,Lex NL4MP
3.70,4.59,Lex 2 SC
3.90,4.84,Lex NL4MPR
4.20,5.21,Lex 10/5 SOW
4.40,5.46,Lex 14/14 TPR
4.60,5.70,Lex NAC3MPX
4.75,5.89,Lex NC3MXX-B
5.05,6.26,Lex 12/7 SOW
5.10,6.32,Lex NAC3MPA
5.20,6.45,Lex NAC3MPB
5.60,6.94,Lex 50301
5.80,7.19,Lex 2P20G-M
5.80,7.19,Lex 2P20G-M-OEM
5.80,7.19,Lex 2P20G-F
5.80,7.19,Lex 2P20G-F-OEM
5.90,7.32,Lex 20F-X
6.00,7.44,Lex 20M-X
6.05,7.50,Lex HBL5266EBK
6.15,7.63,Lex 1/0 SC
6.60,8.18,Lex NC3FXX-B
6.90,8.56,Lex 12/14 TPR
