Item Name/Number,NEW MAP
Martin 91611847,91.11
Martin 91611848,146.25
Martin 91611090,272.13
Martin 90480170*,365.63
Martin 9045107782*,417.18
Martin 9045107783*,417.18
Martin 9045107784*,417.18
Martin 9045107785*,417.18
Martin 90356976,660.54
Martin 90356997,661.00
Martin 90480140,809.19
Martin 90510340,1180.82
Martin 90513545,1180.82
Martin 90510350,1180.82
Martin 91515042,1618.38
Martin 90280120,1618.38
Martin 90480120,1678.32
Martin 90480150,1858.14
Martin 9045107781*,2019.98
Martin 91515037,2037.96
Martin 91611086,2161.44
Martin 9045115165*,2199.80
Martin 91510180,2277.72
Martin 91515039,2426.37
Martin 9045107780*,2499.50
Martin 91515020,2517.48
Martin 9045115164*,2679.32
Martin 90509090,3386.61
Martin 90509095,3386.61
Martin 90509091,3386.61
Martin 90280130,3716.28
Martin 90425000HU,4375.62
Martin 90507071,4723.27
Martin 90507085,4723.27
Martin 90507081,4723.27
Martin 9025109547*,5322.67
Martin 90280100,5754.24
Martin 90232100HU*,6713.28
Martin 9025121795,7408.58
Martin 9025121796,7408.58
Martin 90240000HU*,8991.00
Martin 91510210,8991.00
Martin 90233050HU*,9410.58
Martin 90490000,10798.79
Martin 90233070HU*,10909.08
Martin 90234040HU*,10909.08
Martin 90234025HU*,10909.08
Martin 90234030HU,11268.72
Martin 90233080HU,11628.36
Martin 9025122049*,11730.26
Martin 90233000HU*,11988.00
Martin 90233030HU*,11988.00
Martin 90233010HU,12707.28
Martin 90233040HU,12707.28
Martin 90234015HU*,13126.86
Martin 90233100HU*,13306.68
Martin 90234005HU,13486.50
Martin 90234016HU,13486.50
Martin 90233110HU,14025.96
Martin 9025122052*,15928.46
