"id";"Image";"Name";"Reference";"Category";"Base price";"Final price";"Quantity";"Status";
"7627";"http://www.stagelightingstore.com/img/p/1/9/5/3/1953.jpg";"Silver Safety Cable 30 inches";"Silver Safety Cable 30 inches";"Silver Safety Cables";"2.990000";"2.99";"-20151";"1";
"17650";"http://www.stagelightingstore.com/img/p/2/4/7/3/2473.jpg";"Light Source Safety Cable - Black";"Light Source SCB";"Light Source Clamp Accessories";"5.710000";"5.71";"-1333";"1";
"52078";"http://www.stagelightingstore.com/img/p/6/7/8/1/9/67819.jpg";"Black Safety Cable - 30 inches - 25 Pack";"Black Safety Cable - 30 inches - 25 Pack";"Black Safety Cables";"98.730000";"98.73";"-84";"1";
"52080";"http://www.stagelightingstore.com/img/p/6/7/8/2/0/67820.jpg";"Black Safety Cable - 30 inches - 250 Pack";"Black Safety Cable - 30 inches - 250 Pack";"Black Safety Cables";"822.250000";"822.25";"-3";"1";
"52082";"http://www.stagelightingstore.com/img/p/6/7/8/0/5/67805.jpg";"Silver Safety Cable - 30 inches - 25 Pack";"Silver Safety Cable - 30 inches - 25 Pack";"Silver Safety Cables";"98.730000";"98.73";"-40";"1";
"52084";"http://www.stagelightingstore.com/img/p/6/7/8/1/5/67815.jpg";"Silver Safety Cable - 30 inches - 250 Pack";"Silver Safety Cable - 30 inches - 250 Pack";"Silver Safety Cables";"822.250000";"822.25";"0";"1";
"81660";"http://www.stagelightingstore.com/img/p/3/2/5/0/9/32509.jpg";"Altman Mini Safety Cable - 18in. Long";"Altman MSC";"Silver Safety Cables";"6.400000";"6.4";"-454";"1";
"82214";"http://www.stagelightingstore.com/img/p/3/2/7/7/5/32775.jpg";"ETC Safety Cable - 30in. - White (7060A1022-1)";"ETC 400SC-1";"White Safety Cables";"16.200000";"16.2";"-18";"1";
"92449";"http://www.stagelightingstore.com/img/p/3/6/0/9/4/36094.jpg";"CITC C-Clamp with Safety Cable";"CITC 250110";"CITC Accessories";"16.160000";"16.16";"0";"1";
"95076";"http://www.stagelightingstore.com/img/p/3/7/6/7/4/37674.jpg";"Chauvet DJ Safety Cable";"Chauvet DJ CH05";"Chauvet DJ Hardware";"4.810000";"4.81";"-801";"1";
"105308";"http://www.stagelightingstore.com/img/p/6/5/4/4/6/65446.jpg";"CITC Safety Cable 3/32" x 30" for up to 100 lbs";"CITC 250148";"CITC Spare Parts";"13.580000";"13.58";"-1872";"1";
"837871";"http://www.stagelightingstore.com/img/p/8/0/7/6/6/80766.jpg";"Leviton FR2TV-50B 8" Television Fresnel with C-Clamp, Color Frame, Safety Cable";"Leviton FR2TV-50B";"Leviton / NSI 8" Fresnels";"506.620000";"506.62";"0";"1";
"846492";"http://www.stagelightingstore.com/img/p/9/7/3/2/3/97323.jpg";"Manfrotto Avenger Safety Cable 100cm";"Manfrotto MAC155";"Manfrotto Clamps, Adapters, and Accessories";"25.500000";"25.5";"0";"1";
"7592";"http://www.stagelightingstore.com/img/p/4/1/7/8/1/41781.jpg";"Black Safety Cable - 30 inches";"Black Safety Cable 30 Inches";"Black Safety Cables";"4.980000";"4.98";"-247866";"1";
"17649";"http://www.stagelightingstore.com/img/p/2/4/7/2/2472.jpg";"Light Source Safety Cable - Aluminum Finish";"Light Source SC";"Light Source Clamp Accessories";"5.210000";"5.21";"0";"1";
"52077";"http://www.stagelightingstore.com/img/p/6/7/8/2/1/67821.jpg";"Black Safety Cable - 30 inches - 12 Pack";"Black Safety Cable - 30 inches - 12 Pack";"Black Safety Cables";"50.030000";"50.03";"-107";"1";
"52079";"http://www.stagelightingstore.com/img/p/6/7/8/2/2/67822.jpg";"Black Safety Cable - 30 inches - 50 Pack";"Black Safety Cable - 30 inches - 50 Pack";"Black Safety Cables";"186.450000";"186.45";"-34";"1";
"52081";"http://www.stagelightingstore.com/img/p/6/7/8/0/0/67800.jpg";"Silver Safety Cable - 30 inches - 12 Pack";"Silver Safety Cable - 30 inches - 12 Pack";"Silver Safety Cables";"50.030000";"50.03";"-45";"1";
"52083";"http://www.stagelightingstore.com/img/p/4/1/9/1/5/41915.jpg";"Silver Safety Cable - 30 inches - 50 Pack";"Silver Safety Cable - 30 inches - 50 Pack";"Silver Safety Cables";"186.450000";"186.45";"-2";"1";
"78268";"http://www.stagelightingstore.com/img/p/3/1/5/5/4/31554.jpg";"ADJ 24in. Safety Cable - 60 Lb Rating";"ADJ SCABLE 60";"ADJ Hardware";"7.179600";"7.18";"-279";"1";
"82213";"http://www.stagelightingstore.com/img/p/3/2/7/7/4/32774.jpg";"ETC Safety Cable - 30in. - Black (7060A1022)";"ETC 400SC";"Black Safety Cables";"16.200000";"16.2";"-1898";"1";
"90395";"http://www.stagelightingstore.com/img/p/3/5/2/7/5/35275.jpg";"36in. Safety Cable with Spring Clip";"Altman SC-36-BK";"Black Safety Cables";"10.400000";"10.4";"-184";"1";
"92832";"http://www.stagelightingstore.com/img/p/3/6/3/6/5/36365.jpg";"Elation Safety Cable 60";"Elation SCABLE 60";"Home";"5.580000";"5.58";"0";"1";
"97898";"http://www.stagelightingstore.com/img/p/3/9/8/5/5/39855.jpg";"Chauvet Professional Safety Cable - 35in.";"Chauvet Professional SC07";"Chauvet Professional Hardware & Cables";"9.620000";"9.62";"0";"1";
"176547";"http://www.stagelightingstore.com/img/p/7/8/8/4/2/78842.jpg";"Rosco Image Spot Safety Cable 3'";"Rosco 296000010012";"Silver Safety Cables";"0.000000";"0";"0";"1";
"838816";"http://www.stagelightingstore.com/img/p/8/2/0/2/0/82020.jpg";"Leviton Safety Cable 30"";"Leviton TA0SC-000";"Leviton / NSI Fixture Accessories";"7.050000";"7.05";"0";"1";
